# cat dir outfile expSig meanB meanL meanH errB errL errH pullB pullL pullH

1 ~/eos/cms/store/user/mkenzie/BackgroundProfiling_v2/coverage2012/cat1_mu-0.5 ~/eos/cms/store/user/mkenzie/BackgroundProfiling_v2/coverage2012/cat1_mu-0.5/BiasStudyOut_cat1Hists.root -0.5  50 -4.5 3.5 50 0.5 1.5 50 -5 5 
1 ~/eos/cms/store/user/mkenzie/BackgroundProfiling_v2/coverage2012/cat1_mu0.0  ~/eos/cms/store/user/mkenzie/BackgroundProfiling_v2/coverage2012/cat1_mu0.0/BiasStudyOut_cat1Hists.root  0.    50 -4. 4.   50 0.5 1.5 50 -5 5 
1 ~/eos/cms/store/user/mkenzie/BackgroundProfiling_v2/coverage2012/cat1_mu0.5  ~/eos/cms/store/user/mkenzie/BackgroundProfiling_v2/coverage2012/cat1_mu0.5/BiasStudyOut_cat1Hists.root  0.5   50 -3.5 4.5 50 0.5 1.5 50 -5 5 
1 ~/eos/cms/store/user/mkenzie/BackgroundProfiling_v2/coverage2012/cat1_mu1.0  ~/eos/cms/store/user/mkenzie/BackgroundProfiling_v2/coverage2012/cat1_mu1.0/BiasStudyOut_cat1Hists.root  1.    50 -3. 5.   50 0.5 1.5 50 -5 5 
1 ~/eos/cms/store/user/mkenzie/BackgroundProfiling_v2/coverage2012/cat1_mu1.5  ~/eos/cms/store/user/mkenzie/BackgroundProfiling_v2/coverage2012/cat1_mu1.5/BiasStudyOut_cat1Hists.root  1.5   50 -2.5 5.5 50 0.5 1.5 50 -5 5 

2 ~/eos/cms/store/user/mkenzie/BackgroundProfiling_v2/coverage2012/cat2_mu-1.5 ~/eos/cms/store/user/mkenzie/BackgroundProfiling_v2/coverage2012/cat2_mu-1.5/BiasStudyOut_cat2Hists.root -1.5  50 -5.5 2.5 50 0.5 1.5 50 -5 5 
2 ~/eos/cms/store/user/mkenzie/BackgroundProfiling_v2/coverage2012/cat2_mu-1.0 ~/eos/cms/store/user/mkenzie/BackgroundProfiling_v2/coverage2012/cat2_mu-1.0/BiasStudyOut_cat2Hists.root -1.   50 -5. 3.   50 0.5 1.5 50 -5 5 
2 ~/eos/cms/store/user/mkenzie/BackgroundProfiling_v2/coverage2012/cat2_mu-0.5 ~/eos/cms/store/user/mkenzie/BackgroundProfiling_v2/coverage2012/cat2_mu-0.5/BiasStudyOut_cat2Hists.root -0.5  50 -4.5 3.5 50 0.5 1.5 50 -5 5 
2 ~/eos/cms/store/user/mkenzie/BackgroundProfiling_v2/coverage2012/cat2_mu0.0  ~/eos/cms/store/user/mkenzie/BackgroundProfiling_v2/coverage2012/cat2_mu0.0/BiasStudyOut_cat2Hists.root  0.    50 -4. 4.   50 0.5 1.5 50 -5 5 
2 ~/eos/cms/store/user/mkenzie/BackgroundProfiling_v2/coverage2012/cat2_mu0.5  ~/eos/cms/store/user/mkenzie/BackgroundProfiling_v2/coverage2012/cat2_mu0.5/BiasStudyOut_cat2Hists.root  0.5   50 -3.5 4.5 50 0.5 1.5 50 -5 5 
2 ~/eos/cms/store/user/mkenzie/BackgroundProfiling_v2/coverage2012/cat2_mu1.0  ~/eos/cms/store/user/mkenzie/BackgroundProfiling_v2/coverage2012/cat2_mu1.0/BiasStudyOut_cat2Hists.root  1.    50 -3. 5.   50 0.5 1.5 50 -5 5 
2 ~/eos/cms/store/user/mkenzie/BackgroundProfiling_v2/coverage2012/cat2_mu1.5  ~/eos/cms/store/user/mkenzie/BackgroundProfiling_v2/coverage2012/cat2_mu1.5/BiasStudyOut_cat2Hists.root  1.5   50 -2.5 5.5 50 0.5 1.5 50 -5 5 

3 ~/eos/cms/store/user/mkenzie/BackgroundProfiling_v2/coverage2012/cat3_mu-1.5 ~/eos/cms/store/user/mkenzie/BackgroundProfiling_v2/coverage2012/cat3_mu-1.5/BiasStudyOut_cat3Hists.root -1.5  50 -5.5 2.5 50 0.5 1.5 50 -5 5 
3 ~/eos/cms/store/user/mkenzie/BackgroundProfiling_v2/coverage2012/cat3_mu-1.0 ~/eos/cms/store/user/mkenzie/BackgroundProfiling_v2/coverage2012/cat3_mu-1.0/BiasStudyOut_cat3Hists.root -1.   50 -5. 3.   50 0.5 1.5 50 -5 5 
3 ~/eos/cms/store/user/mkenzie/BackgroundProfiling_v2/coverage2012/cat3_mu-0.5 ~/eos/cms/store/user/mkenzie/BackgroundProfiling_v2/coverage2012/cat3_mu-0.5/BiasStudyOut_cat3Hists.root -0.5  50 -4.5 3.5 50 0.5 1.5 50 -5 5 
3 ~/eos/cms/store/user/mkenzie/BackgroundProfiling_v2/coverage2012/cat3_mu0.0  ~/eos/cms/store/user/mkenzie/BackgroundProfiling_v2/coverage2012/cat3_mu0.0/BiasStudyOut_cat3Hists.root  0.    50 -4. 4.   50 0.5 1.5 50 -5 5 
3 ~/eos/cms/store/user/mkenzie/BackgroundProfiling_v2/coverage2012/cat3_mu0.5  ~/eos/cms/store/user/mkenzie/BackgroundProfiling_v2/coverage2012/cat3_mu0.5/BiasStudyOut_cat3Hists.root  0.5   50 -3.5 4.5 50 0.5 1.5 50 -5 5 
3 ~/eos/cms/store/user/mkenzie/BackgroundProfiling_v2/coverage2012/cat3_mu1.0  ~/eos/cms/store/user/mkenzie/BackgroundProfiling_v2/coverage2012/cat3_mu1.0/BiasStudyOut_cat3Hists.root  1.    50 -3. 5.   50 0.5 1.5 50 -5 5 
3 ~/eos/cms/store/user/mkenzie/BackgroundProfiling_v2/coverage2012/cat3_mu1.5  ~/eos/cms/store/user/mkenzie/BackgroundProfiling_v2/coverage2012/cat3_mu1.5/BiasStudyOut_cat3Hists.root  1.5   50 -2.5 5.5 50 0.5 1.5 50 -5 5 

4 ~/eos/cms/store/user/mkenzie/BackgroundProfiling_v2/coverage2012/cat4_mu-1.5 ~/eos/cms/store/user/mkenzie/BackgroundProfiling_v2/coverage2012/cat4_mu-1.5/BiasStudyOut_cat4Hists.root -1.5  50 -5.5 2.5 50 0.5 1.5 50 -5 5 
4 ~/eos/cms/store/user/mkenzie/BackgroundProfiling_v2/coverage2012/cat4_mu-1.0 ~/eos/cms/store/user/mkenzie/BackgroundProfiling_v2/coverage2012/cat4_mu-1.0/BiasStudyOut_cat4Hists.root -1.   50 -5. 3.   50 0.5 1.5 50 -5 5 
4 ~/eos/cms/store/user/mkenzie/BackgroundProfiling_v2/coverage2012/cat4_mu-0.5 ~/eos/cms/store/user/mkenzie/BackgroundProfiling_v2/coverage2012/cat4_mu-0.5/BiasStudyOut_cat4Hists.root -0.5  50 -4.5 3.5 50 0.5 1.5 50 -5 5 
4 ~/eos/cms/store/user/mkenzie/BackgroundProfiling_v2/coverage2012/cat4_mu0.0  ~/eos/cms/store/user/mkenzie/BackgroundProfiling_v2/coverage2012/cat4_mu0.0/BiasStudyOut_cat4Hists.root  0.    50 -4. 4.   50 0.5 1.5 50 -5 5 
4 ~/eos/cms/store/user/mkenzie/BackgroundProfiling_v2/coverage2012/cat4_mu0.5  ~/eos/cms/store/user/mkenzie/BackgroundProfiling_v2/coverage2012/cat4_mu0.5/BiasStudyOut_cat4Hists.root  0.5   50 -3.5 4.5 50 0.5 1.5 50 -5 5 
4 ~/eos/cms/store/user/mkenzie/BackgroundProfiling_v2/coverage2012/cat4_mu1.0  ~/eos/cms/store/user/mkenzie/BackgroundProfiling_v2/coverage2012/cat4_mu1.0/BiasStudyOut_cat4Hists.root  1.    50 -3. 5.   50 0.5 1.5 50 -5 5 
4 ~/eos/cms/store/user/mkenzie/BackgroundProfiling_v2/coverage2012/cat4_mu1.5  ~/eos/cms/store/user/mkenzie/BackgroundProfiling_v2/coverage2012/cat4_mu1.5/BiasStudyOut_cat4Hists.root  1.5   50 -2.5 5.5 50 0.5 1.5 50 -5 5 

5 ~/eos/cms/store/user/mkenzie/BackgroundProfiling_v2/coverage2012/cat5_mu-1.5 ~/eos/cms/store/user/mkenzie/BackgroundProfiling_v2/coverage2012/cat5_mu-1.5/BiasStudyOut_cat5Hists.root -1.5  50 -5.5 2.5 50 0.5 1.5 50 -5 5 
5 ~/eos/cms/store/user/mkenzie/BackgroundProfiling_v2/coverage2012/cat5_mu-1.0 ~/eos/cms/store/user/mkenzie/BackgroundProfiling_v2/coverage2012/cat5_mu-1.0/BiasStudyOut_cat5Hists.root -1.   50 -5. 3.   50 0.5 1.5 50 -5 5 
5 ~/eos/cms/store/user/mkenzie/BackgroundProfiling_v2/coverage2012/cat5_mu-0.5 ~/eos/cms/store/user/mkenzie/BackgroundProfiling_v2/coverage2012/cat5_mu-0.5/BiasStudyOut_cat5Hists.root -0.5  50 -4.5 3.5 50 0.5 1.5 50 -5 5 
5 ~/eos/cms/store/user/mkenzie/BackgroundProfiling_v2/coverage2012/cat5_mu0.0  ~/eos/cms/store/user/mkenzie/BackgroundProfiling_v2/coverage2012/cat5_mu0.0/BiasStudyOut_cat5Hists.root  0.    50 -4. 4.   50 0.5 1.5 50 -5 5 
5 ~/eos/cms/store/user/mkenzie/BackgroundProfiling_v2/coverage2012/cat5_mu0.5  ~/eos/cms/store/user/mkenzie/BackgroundProfiling_v2/coverage2012/cat5_mu0.5/BiasStudyOut_cat5Hists.root  0.5   50 -3.5 4.5 50 0.5 1.5 50 -5 5 
5 ~/eos/cms/store/user/mkenzie/BackgroundProfiling_v2/coverage2012/cat5_mu1.0  ~/eos/cms/store/user/mkenzie/BackgroundProfiling_v2/coverage2012/cat5_mu1.0/BiasStudyOut_cat5Hists.root  1.    50 -3. 5.   50 0.5 1.5 50 -5 5 
5 ~/eos/cms/store/user/mkenzie/BackgroundProfiling_v2/coverage2012/cat5_mu1.5  ~/eos/cms/store/user/mkenzie/BackgroundProfiling_v2/coverage2012/cat5_mu1.5/BiasStudyOut_cat5Hists.root  1.5   50 -2.5 5.5 50 0.5 1.5 50 -5 5 

6 ~/eos/cms/store/user/mkenzie/BackgroundProfiling_v2/coverage2012/cat6_mu-1.5 ~/eos/cms/store/user/mkenzie/BackgroundProfiling_v2/coverage2012/cat6_mu-1.5/BiasStudyOut_cat6Hists.root -1.5  50 -5.5 2.5 50 0.5 1.5 50 -5 5 
6 ~/eos/cms/store/user/mkenzie/BackgroundProfiling_v2/coverage2012/cat6_mu-1.0 ~/eos/cms/store/user/mkenzie/BackgroundProfiling_v2/coverage2012/cat6_mu-1.0/BiasStudyOut_cat6Hists.root -1.   50 -5. 3.   50 0.5 1.5 50 -5 5 
6 ~/eos/cms/store/user/mkenzie/BackgroundProfiling_v2/coverage2012/cat6_mu-0.5 ~/eos/cms/store/user/mkenzie/BackgroundProfiling_v2/coverage2012/cat6_mu-0.5/BiasStudyOut_cat6Hists.root -0.5  50 -4.5 3.5 50 0.5 1.5 50 -5 5 
6 ~/eos/cms/store/user/mkenzie/BackgroundProfiling_v2/coverage2012/cat6_mu0.0  ~/eos/cms/store/user/mkenzie/BackgroundProfiling_v2/coverage2012/cat6_mu0.0/BiasStudyOut_cat6Hists.root  0.    50 -4. 4.   50 0.5 1.5 50 -5 5 
6 ~/eos/cms/store/user/mkenzie/BackgroundProfiling_v2/coverage2012/cat6_mu0.5  ~/eos/cms/store/user/mkenzie/BackgroundProfiling_v2/coverage2012/cat6_mu0.5/BiasStudyOut_cat6Hists.root  0.5   50 -3.5 4.5 50 0.5 1.5 50 -5 5 
6 ~/eos/cms/store/user/mkenzie/BackgroundProfiling_v2/coverage2012/cat6_mu1.0  ~/eos/cms/store/user/mkenzie/BackgroundProfiling_v2/coverage2012/cat6_mu1.0/BiasStudyOut_cat6Hists.root  1.    50 -3. 5.   50 0.5 1.5 50 -5 5 
6 ~/eos/cms/store/user/mkenzie/BackgroundProfiling_v2/coverage2012/cat6_mu1.5  ~/eos/cms/store/user/mkenzie/BackgroundProfiling_v2/coverage2012/cat6_mu1.5/BiasStudyOut_cat6Hists.root  1.5   50 -2.5 5.5 50 0.5 1.5 50 -5 5 

7 ~/eos/cms/store/user/mkenzie/BackgroundProfiling_v2/coverage2012/cat7_mu-1.5 ~/eos/cms/store/user/mkenzie/BackgroundProfiling_v2/coverage2012/cat7_mu-1.5/BiasStudyOut_cat7Hists.root -1.5  50 -5.5 2.5 50 0.5 1.5 50 -5 5 
7 ~/eos/cms/store/user/mkenzie/BackgroundProfiling_v2/coverage2012/cat7_mu-1.0 ~/eos/cms/store/user/mkenzie/BackgroundProfiling_v2/coverage2012/cat7_mu-1.0/BiasStudyOut_cat7Hists.root -1.   50 -5. 3.   50 0.5 1.5 50 -5 5 
7 ~/eos/cms/store/user/mkenzie/BackgroundProfiling_v2/coverage2012/cat7_mu-0.5 ~/eos/cms/store/user/mkenzie/BackgroundProfiling_v2/coverage2012/cat7_mu-0.5/BiasStudyOut_cat7Hists.root -0.5  50 -4.5 3.5 50 0.5 1.5 50 -5 5 
7 ~/eos/cms/store/user/mkenzie/BackgroundProfiling_v2/coverage2012/cat7_mu0.0  ~/eos/cms/store/user/mkenzie/BackgroundProfiling_v2/coverage2012/cat7_mu0.0/BiasStudyOut_cat7Hists.root  0.    50 -4. 4.   50 0.5 1.5 50 -5 5 
7 ~/eos/cms/store/user/mkenzie/BackgroundProfiling_v2/coverage2012/cat7_mu0.5  ~/eos/cms/store/user/mkenzie/BackgroundProfiling_v2/coverage2012/cat7_mu0.5/BiasStudyOut_cat7Hists.root  0.5   50 -3.5 4.5 50 0.5 1.5 50 -5 5 
7 ~/eos/cms/store/user/mkenzie/BackgroundProfiling_v2/coverage2012/cat7_mu1.0  ~/eos/cms/store/user/mkenzie/BackgroundProfiling_v2/coverage2012/cat7_mu1.0/BiasStudyOut_cat7Hists.root  1.    50 -3. 5.   50 0.5 1.5 50 -5 5 
7 ~/eos/cms/store/user/mkenzie/BackgroundProfiling_v2/coverage2012/cat7_mu1.5  ~/eos/cms/store/user/mkenzie/BackgroundProfiling_v2/coverage2012/cat7_mu1.5/BiasStudyOut_cat7Hists.root  1.5   50 -2.5 5.5 50 0.5 1.5 50 -5 5 

8 ~/eos/cms/store/user/mkenzie/BackgroundProfiling_v2/coverage2012/cat8_mu-1.5 ~/eos/cms/store/user/mkenzie/BackgroundProfiling_v2/coverage2012/cat8_mu-1.5/BiasStudyOut_cat8Hists.root -1.5  50 -5.5 2.5 50 0.5 1.5 50 -5 5 
8 ~/eos/cms/store/user/mkenzie/BackgroundProfiling_v2/coverage2012/cat8_mu-1.0 ~/eos/cms/store/user/mkenzie/BackgroundProfiling_v2/coverage2012/cat8_mu-1.0/BiasStudyOut_cat8Hists.root -1.   50 -5. 3.   50 0.5 1.5 50 -5 5 
8 ~/eos/cms/store/user/mkenzie/BackgroundProfiling_v2/coverage2012/cat8_mu-0.5 ~/eos/cms/store/user/mkenzie/BackgroundProfiling_v2/coverage2012/cat8_mu-0.5/BiasStudyOut_cat8Hists.root -0.5  50 -4.5 3.5 50 0.5 1.5 50 -5 5 
8 ~/eos/cms/store/user/mkenzie/BackgroundProfiling_v2/coverage2012/cat8_mu0.0  ~/eos/cms/store/user/mkenzie/BackgroundProfiling_v2/coverage2012/cat8_mu0.0/BiasStudyOut_cat8Hists.root  0.    50 -4. 4.   50 0.5 1.5 50 -5 5 
8 ~/eos/cms/store/user/mkenzie/BackgroundProfiling_v2/coverage2012/cat8_mu0.5  ~/eos/cms/store/user/mkenzie/BackgroundProfiling_v2/coverage2012/cat8_mu0.5/BiasStudyOut_cat8Hists.root  0.5   50 -3.5 4.5 50 0.5 1.5 50 -5 5 
8 ~/eos/cms/store/user/mkenzie/BackgroundProfiling_v2/coverage2012/cat8_mu1.0  ~/eos/cms/store/user/mkenzie/BackgroundProfiling_v2/coverage2012/cat8_mu1.0/BiasStudyOut_cat8Hists.root  1.    50 -3. 5.   50 0.5 1.5 50 -5 5 
8 ~/eos/cms/store/user/mkenzie/BackgroundProfiling_v2/coverage2012/cat8_mu1.5  ~/eos/cms/store/user/mkenzie/BackgroundProfiling_v2/coverage2012/cat8_mu1.5/BiasStudyOut_cat8Hists.root  1.5   50 -2.5 5.5 50 0.5 1.5 50 -5 5 
